device: cpu | num_envs: 8
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
upd    1 | step     2048 |   147 sps | ret     0.20 | succ 0.01 | mean_lvl  9.2 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=1.0 | kl +0.0013 | ent 3.610
upd  103 | step   210944 |   181 sps | ret     7.40 | succ 0.37 | mean_lvl 10.4 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.85 | kl -0.0001 | ent 2.585
upd  104 | step   212992 |   181 sps | ret     8.00 | succ 0.40 | mean_lvl 10.4 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.91 | kl +0.0018 | ent 2.514
upd  105 | step   215040 |   181 sps | ret     9.40 | succ 0.47 | mean_lvl 10.5 | max_lvl 12 | cur 4/10 pb 0.0 | focus (448,208) f=0.92 | kl +0.0033 | ent 2.507
upd  106 | step   217088 |   181 sps | ret     9.80 | succ 0.49 | mean_lvl 10.6 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.78 | kl +0.0030 | ent 2.553
upd  107 | step   219136 |   181 sps | ret     8.60 | succ 0.43 | mean_lvl 10.4 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.76 | kl +0.0035 | ent 2.554
upd  108 | step   221184 |   182 sps | ret     8.80 | succ 0.44 | mean_lvl 10.5 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.76 | kl +0.0024 | ent 2.530
upd  109 | step   223232 |   182 sps | ret     8.60 | succ 0.43 | mean_lvl 10.4 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.76 | kl +0.0030 | ent 2.487
upd  110 | step   225280 |   182 sps | ret     9.60 | succ 0.48 | mean_lvl 10.6 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.59 | kl +0.0015 | ent 2.434
upd  111 | step   227328 |   182 sps | ret    10.00 | succ 0.50 | mean_lvl 10.6 | max_lvl 12 | cur 4/10 pb 0.0 | focus (448,208) f=0.78 | kl +0.0030 | ent 2.460
upd  112 | step   229376 |   183 sps | ret     8.80 | succ 0.44 | mean_lvl 10.4 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.44 | kl +0.0018 | ent 2.490
upd  113 | step   231424 |   183 sps | ret     9.20 | succ 0.46 | mean_lvl 10.4 | max_lvl 12 | cur 3/10 pb 0.0 | focus (152,161) f=0.63 | kl +0.0016 | ent 2.469
upd  114 | step   233472 |   183 sps | ret    11.00 | succ 0.55 | mean_lvl 10.7 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.48 | kl +0.0033 | ent 2.459
upd  115 | step   235520 |   183 sps | ret    11.40 | succ 0.57 | mean_lvl 10.7 | max_lvl 12 | cur 4/10 pb 0.0 | focus (448,208) f=0.58 | kl +0.0015 | ent 2.447
upd  116 | step   237568 |   184 sps | ret     9.80 | succ 0.49 | mean_lvl 10.5 | max_lvl 12 | cur 4/10 pb 0.0 | focus (448,208) f=0.74 | kl +0.0049 | ent 2.418
upd  117 | step   239616 |   184 sps | ret     9.40 | succ 0.47 | mean_lvl 10.4 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.62 | kl +0.0003 | ent 2.427
upd  118 | step   241664 |   184 sps | ret    12.40 | succ 0.62 | mean_lvl 10.9 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.65 | kl +0.0024 | ent 2.450
upd  119 | step   243712 |   185 sps | ret    11.20 | succ 0.56 | mean_lvl 10.7 | max_lvl 12 | cur 4/10 pb 0.0 | focus (448,208) f=0.76 | kl +0.0016 | ent 2.446
upd  120 | step   245760 |   185 sps | ret    12.20 | succ 0.61 | mean_lvl 10.9 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.49 | kl +0.0017 | ent 2.441
upd  121 | step   247808 |   185 sps | ret    14.00 | succ 0.70 | mean_lvl 11.1 | max_lvl 12 | cur 4/10 pb 0.0 | focus (448,208) f=0.58 | kl +0.0035 | ent 2.458
upd  122 | step   249856 |   185 sps | ret    13.40 | succ 0.67 | mean_lvl 11.1 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.34 | kl +0.0043 | ent 2.407
upd  123 | step   251904 |   186 sps | ret    13.00 | succ 0.65 | mean_lvl 11.0 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.41 | kl +0.0009 | ent 2.380
upd  124 | step   253952 |   186 sps | ret    13.20 | succ 0.66 | mean_lvl 11.0 | max_lvl 12 | cur 4/10 pb 0.0 | focus (448,208) f=0.73 | kl +0.0034 | ent 2.391
upd  125 | step   256000 |   186 sps | ret    14.20 | succ 0.71 | mean_lvl 11.2 | max_lvl 12 | cur 4/10 pb 0.0 | focus (448,208) f=0.59 | kl +0.0041 | ent 2.362
upd  126 | step   258048 |   187 sps | ret    13.80 | succ 0.69 | mean_lvl 11.1 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.38 | kl +0.0024 | ent 2.354
upd  127 | step   260096 |   187 sps | ret    11.20 | succ 0.56 | mean_lvl 10.7 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.65 | kl +0.0028 | ent 2.385
upd  128 | step   262144 |   187 sps | ret    13.00 | succ 0.65 | mean_lvl 10.9 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.32 | kl +0.0036 | ent 2.356
upd  129 | step   264192 |   187 sps | ret    13.20 | succ 0.66 | mean_lvl 11.0 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.3 | kl +0.0016 | ent 2.335
upd  130 | step   266240 |   188 sps | ret    13.20 | succ 0.66 | mean_lvl 10.9 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.53 | kl +0.0043 | ent 2.352
upd  131 | step   268288 |   188 sps | ret    13.20 | succ 0.66 | mean_lvl 11.0 | max_lvl 12 | cur 4/10 pb 0.0 | focus (180,161) f=0.61 | kl +0.0013 | ent 2.305
upd  132 | step   270336 |   188 sps | ret    12.40 | succ 0.62 | mean_lvl 10.9 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.49 | kl +0.0051 | ent 2.299
upd  133 | step   272384 |   188 sps | ret    12.20 | succ 0.61 | mean_lvl 10.8 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.65 | kl +0.0103 | ent 2.302
upd  134 | step   274432 |   189 sps | ret    16.00 | succ 0.80 | mean_lvl 11.4 | max_lvl 12 | cur 3/10 pb 0.0 | focus (152,161) f=0.41 | kl +0.0047 | ent 2.324
upd  135 | step   276480 |   189 sps | ret    15.20 | succ 0.76 | mean_lvl 11.2 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.35 | kl +0.0045 | ent 2.314
upd  136 | step   278528 |   189 sps | ret    14.00 | succ 0.70 | mean_lvl 11.1 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.43 | kl +0.0045 | ent 2.340
upd  137 | step   280576 |   190 sps | ret    16.60 | succ 0.83 | mean_lvl 11.5 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.44 | kl +0.0062 | ent 2.304
upd  138 | step   282624 |   190 sps | ret    15.20 | succ 0.76 | mean_lvl 11.3 | max_lvl 12 | cur 3/10 pb 0.0 | focus (302,104) f=0.19 | kl +0.0048 | ent 2.258
upd  139 | step   284672 |   190 sps | ret    16.40 | succ 0.82 | mean_lvl 11.5 | max_lvl 12 | cur 4/10 pb 0.0 | focus (180,161) f=0.62 | kl +0.0061 | ent 2.305
upd  140 | step   286720 |   190 sps | ret    16.60 | succ 0.83 | mean_lvl 11.5 | max_lvl 12 | cur 4/10 pb 0.0 | focus (180,161) f=0.3 | kl +0.0074 | ent 2.260
upd  141 | step   288768 |   191 sps | ret    16.60 | succ 0.83 | mean_lvl 11.5 | max_lvl 12 | cur 4/10 pb 0.0 | focus (448,208) f=0.47 | kl +0.0044 | ent 2.253
upd  142 | step   290816 |   191 sps | ret    17.40 | succ 0.87 | mean_lvl 11.6 | max_lvl 12 | cur 3/10 pb 0.0 | focus (152,161) f=0.17 | kl +0.0050 | ent 2.247
upd  143 | step   292864 |   191 sps | ret    17.40 | succ 0.87 | mean_lvl 11.6 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.22 | kl +0.0041 | ent 2.181
upd  144 | step   294912 |   191 sps | ret    16.60 | succ 0.83 | mean_lvl 11.5 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.25 | kl +0.0041 | ent 2.140
upd  145 | step   296960 |   192 sps | ret    16.80 | succ 0.84 | mean_lvl 11.5 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.21 | kl +0.0040 | ent 2.150
upd  146 | step   299008 |   192 sps | ret    18.20 | succ 0.91 | mean_lvl 11.7 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.2 | kl +0.0020 | ent 2.160
upd  147 | step   301056 |   192 sps | ret    16.20 | succ 0.81 | mean_lvl 11.4 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.24 | kl +0.0086 | ent 2.142
upd  148 | step   303104 |   192 sps | ret    15.20 | succ 0.76 | mean_lvl 11.3 | max_lvl 12 | cur 3/10 pb 0.0 | focus (180,161) f=0.15 | kl +0.0072 | ent 2.135
upd  149 | step   305152 |   193 sps | ret    14.00 | succ 0.70 | mean_lvl 11.1 | max_lvl 12 | cur 5/10 pb 0.0 | focus (276,288) f=1.0 | kl +0.0085 | ent 2.095
upd  150 | step   307200 |   193 sps | ret    14.60 | succ 0.73 | mean_lvl 11.2 | max_lvl 12 | cur 4/10 pb 0.0 | focus (448,208) f=1.0 | kl +0.0070 | ent 2.145
saved checkpoints/L11\ppo_307200.pt
upd  151 | step   309248 |   193 sps | ret    13.00 | succ 0.65 | mean_lvl 10.9 | max_lvl 12 | cur 6/10 pb 0.0 | focus (248,288) f=1.0 | kl +0.0041 | ent 2.089
upd  152 | step   311296 |   193 sps | ret    14.60 | succ 0.73 | mean_lvl 11.2 | max_lvl 12 | cur 6/10 pb 0.0 | focus (248,288) f=0.9 | kl +0.0033 | ent 2.086
upd  153 | step   313344 |   193 sps | ret    12.80 | succ 0.64 | mean_lvl 10.9 | max_lvl 12 | cur 6/10 pb 0.0 | focus (248,288) f=0.84 | kl +0.0047 | ent 2.156
upd  154 | step   315392 |   194 sps | ret    13.80 | succ 0.69 | mean_lvl 11.1 | max_lvl 12 | cur 4/10 pb 0.0 | focus (448,208) f=0.29 | kl +0.0038 | ent 2.117
upd  155 | step   317440 |   194 sps | ret    10.60 | succ 0.53 | mean_lvl 10.6 | max_lvl 12 | cur 6/10 pb 0.0 | focus (276,288) f=0.71 | kl +0.0051 | ent 2.139
upd  156 | step   319488 |   194 sps | ret    11.80 | succ 0.59 | mean_lvl 10.7 | max_lvl 12 | cur 7/10 pb 0.0 | focus (379,320) f=1.0 | kl +0.0024 | ent 2.144
upd  157 | step   321536 |   194 sps | ret    11.40 | succ 0.57 | mean_lvl 10.7 | max_lvl 12 | cur 7/10 pb 0.0 | focus (379,320) f=1.0 | kl +0.0051 | ent 2.080
upd  158 | step   323584 |   194 sps | ret     8.60 | succ 0.43 | mean_lvl 10.3 | max_lvl 12 | cur 4/10 pb 0.0 | focus (152,161) f=0.15 | kl +0.0024 | ent 2.067
upd  159 | step   325632 |   194 sps | ret     9.00 | succ 0.45 | mean_lvl 10.3 | max_lvl 12 | cur 6/10 pb 0.0 | focus (248,288) f=0.69 | kl +0.0053 | ent 2.060
upd  160 | step   327680 |   194 sps | ret    11.20 | succ 0.56 | mean_lvl 10.6 | max_lvl 12 | cur 4/10 pb 0.0 | focus (152,161) f=0.22 | kl +0.0030 | ent 2.128
upd  161 | step   329728 |   194 sps | ret     9.60 | succ 0.48 | mean_lvl 10.4 | max_lvl 12 | cur 4/10 pb 0.0 | focus (152,161) f=0.17 | kl +0.0066 | ent 2.138
upd  162 | step   331776 |   194 sps | ret     6.60 | succ 0.33 | mean_lvl 10.0 | max_lvl 12 | cur 7/10 pb 0.0 | focus (379,320) f=1.0 | kl +0.0047 | ent 2.175
upd  163 | step   333824 |   194 sps | ret     7.20 | succ 0.36 | mean_lvl 10.1 | max_lvl 12 | cur 4/10 pb 0.0 | focus (448,208) f=0.5 | kl +0.0025 | ent 2.182
upd  164 | step   335872 |   194 sps | ret     6.80 | succ 0.34 | mean_lvl 10.0 | max_lvl 12 | cur 9/10 pb 0.0 | focus (379,320) f=1.0 | kl +0.0034 | ent 2.207
upd  165 | step   337920 |   194 sps | ret     6.20 | succ 0.31 | mean_lvl  9.9 | max_lvl 12 | cur 7/10 pb 0.0 | focus (379,320) f=0.97 | kl +0.0014 | ent 2.196
upd  166 | step   339968 |   194 sps | ret     6.80 | succ 0.34 | mean_lvl  9.9 | max_lvl 12 | cur 7/10 pb 0.0 | focus (379,320) f=1.0 | kl +0.0013 | ent 2.272
upd  167 | step   342016 |   194 sps | ret     9.20 | succ 0.46 | mean_lvl 10.3 | max_lvl 12 | cur 7/10 pb 0.0 | focus (379,320) f=1.0 | kl +0.0023 | ent 2.264
upd  168 | step   344064 |   194 sps | ret     6.00 | succ 0.30 | mean_lvl  9.8 | max_lvl 12 | cur 7/10 pb 0.0 | focus (379,320) f=1.0 | kl +0.0011 | ent 2.282
upd  169 | step   346112 |   194 sps | ret     7.00 | succ 0.35 | mean_lvl 10.0 | max_lvl 12 | cur 8/10 pb 0.0 | focus (379,320) f=1.0 | kl +0.0052 | ent 2.262
upd  170 | step   348160 |   194 sps | ret     6.40 | succ 0.32 | mean_lvl  9.8 | max_lvl 12 | cur 8/10 pb 0.0 | focus (379,320) f=1.0 | kl +0.0040 | ent 2.320
upd  171 | step   350208 |   194 sps | ret     5.00 | succ 0.25 | mean_lvl  9.6 | max_lvl 12 | cur 9/10 pb 0.0 | focus (121,321) f=1.0 | kl +0.0039 | ent 2.349
upd  172 | step   352256 |   194 sps | ret     5.60 | succ 0.28 | mean_lvl  9.8 | max_lvl 12 | cur 7/10 pb 0.0 | focus (379,320) f=1.0 | kl +0.0044 | ent 2.321
upd  173 | step   354304 |   194 sps | ret     8.00 | succ 0.40 | mean_lvl 10.1 | max_lvl 12 | cur 4/10 pb 0.0 | focus (180,161) f=0.58 | kl +0.0032 | ent 2.339
upd  174 | step   356352 |   194 sps | ret     7.00 | succ 0.35 | mean_lvl  9.9 | max_lvl 12 | cur 7/10 pb 0.0 | focus (379,320) f=1.0 | kl +0.0051 | ent 2.325
upd  175 | step   358400 |   194 sps | ret     7.00 | succ 0.35 | mean_lvl  9.9 | max_lvl 12 | cur 4/10 pb 0.0 | focus (180,161) f=0.41 | kl +0.0031 | ent 2.311
upd  176 | step   360448 |   194 sps | ret     7.60 | succ 0.38 | mean_lvl 10.1 | max_lvl 12 | cur 7/10 pb 0.0 | focus (379,320) f=1.0 | kl +0.0022 | ent 2.363
upd  177 | step   362496 |   193 sps | ret     7.00 | succ 0.35 | mean_lvl 10.0 | max_lvl 12 | cur 8/10 pb 0.0 | focus (379,320) f=1.0 | kl +0.0030 | ent 2.309
upd  178 | step   364544 |   193 sps | ret     5.40 | succ 0.27 | mean_lvl  9.7 | max_lvl 12 | cur 7/10 pb 0.0 | focus (379,320) f=0.9 | kl +0.0025 | ent 2.300
upd  179 | step   366592 |   193 sps | ret     7.80 | succ 0.39 | mean_lvl 10.1 | max_lvl 12 | cur 7/10 pb 0.0 | focus (379,320) f=0.97 | kl +0.0073 | ent 2.288
upd  180 | step   368640 |   193 sps | ret     7.80 | succ 0.39 | mean_lvl 10.1 | max_lvl 12 | cur 7/10 pb 0.0 | focus (379,320) f=1.0 | kl +0.0043 | ent 2.324
upd  181 | step   370688 |   193 sps | ret     7.80 | succ 0.39 | mean_lvl 10.0 | max_lvl 12 | cur 9/10 pb 0.0 | focus (121,321) f=1.0 | kl +0.0040 | ent 2.314
upd  182 | step   372736 |   193 sps | ret     7.80 | succ 0.39 | mean_lvl 10.1 | max_lvl 12 | cur 7/10 pb 0.0 | focus (379,320) f=0.98 | kl +0.0021 | ent 2.364
upd  183 | step   374784 |   193 sps | ret     7.80 | succ 0.39 | mean_lvl 10.1 | max_lvl 12 | cur 4/10 pb 0.0 | focus (152,161) f=0.37 | kl +0.0017 | ent 2.336
upd  184 | step   376832 |   194 sps | ret     7.60 | succ 0.38 | mean_lvl 10.1 | max_lvl 12 | cur 7/10 pb 0.0 | focus (379,320) f=1.0 | kl +0.0033 | ent 2.394
upd  185 | step   378880 |   194 sps | ret     7.80 | succ 0.39 | mean_lvl 10.1 | max_lvl 12 | cur 4/10 pb 0.0 | focus (448,208) f=0.35 | kl +0.0046 | ent 2.347
upd  186 | step   380928 |   194 sps | ret     8.60 | succ 0.43 | mean_lvl 10.3 | max_lvl 12 | cur 9/10 pb 0.0 | focus (121,321) f=1.0 | kl +0.0042 | ent 2.393
